0,1,2,3,4,5,6,7,8,9,10,11,12,13
Equanimeous St. Brown,GNB,25,WR,13,2,3,14,0,2,13,4.7,1.1,0
Johnny Stanton,CLE,27,RB,4,0,3,5,0,2,3,1.7,1.3,0
Chris Streveler,ARI,26,QB,2,0,3,6,0,0,4,2.0,3.0,1
Kadarius Toney,NYG,22,WR,10,4,3,6,0,0,7,2.0,0.6,0
Tommy Tremble,CAR,21,TE,16,11,3,11,1,1,7,3.7,0.7,0
Kyle Allen,WAS,25,QB,2,0,2,11,0,1,11,5.5,5.5,1
Cameron Batson,TEN,26,WR,4,0,2,15,0,1,11,7.5,3.8,0
Odell Beckham Jr.,2TM,29,WR,14,13,2,14,0,1,10,7.0,1.0,0
Kurt Benkert,GNB,26,QB,1,0,2,-1,0,0,0,-0.5,-1.0,0
Tyler Boyd,CIN,27,WR,16,10,2,22,0,1,14,11.0,1.4,1
,,,,,,,,,,,,,
Tim Boyle,DET,27,QB,5,3,2,13,0,1,14,6.5,2.6,1
A.J. Brown,TEN,24,WR,13,13,2,10,0,1,7,5.0,0.8,0
Brandin Cooks,HOU,28,WR,16,16,2,21,0,1,16,10.5,1.3,0
Chase Daniel,LAC,35,QB,1,0,2,-2,0,0,-1,-1.0,-2.0,0
Darrynton Evans,TEN,23,RB,1,0,2,7,0,0,5,3.5,7.0,0
Joe Flacco,NYJ,36,QB,2,1,2,3,0,1,2,1.5,1.5,1
Jake Funk,LAR,23,RB,10,0,2,5,0,0,6,2.5,0.5,0
Marquise Goodwin,CHI,31,WR,14,2,2,-1,0,0,1,-0.5,-0.1,1
Alec Ingold,LVR,25,FB,9,3,2,1,0,1,1,0.5,0.1,0
Andy Janovich,CLE,28,RB,13,3,2,0,1,1,1,0.0,0.0,0
Van Jefferson,LAR,25,WR,17,17,2,20,0,1,10,10.0,1.2,0
Jerry Jeudy,DEN,22,WR,10,5,2,3,0,0,3,1.5,0.3,1
Marcus Johnson,TEN,27,WR,7,3,2,-2,0,1,5,-1.0,-0.3,0
Zay Jones,LVR,26,WR,17,9,2,3,0,0,4,1.5,0.2,1
Travis Kelce*,KAN,32,TE,16,16,2,3,1,1,4,1.5,0.2,1
John Kelly,CLE,25,RB,4,0,2,13,0,1,11,6.5,3.3,0
Dallin Leavitt,LVR,27,DB,16,1,2,6,0,2,4,3.0,0.4,0
Tyler Lockett,SEA,29,WR,16,16,2,9,0,0,7,4.5,0.6,0
Sean Mannion,MIN,29,QB,1,1,2,14,0,2,11,7.0,14.0,0
Ray-Ray McCloud,PIT,25,WR,16,5,2,15,0,0,10,7.5,0.9,4
Scott Miller,TAM,24,WR,9,0,2,43,1,2,33,21.5,4.8,0
Raheem Mostert,SFO,29,RB,1,1,2,20,0,1,11,10.0,20.0,0
Zach Pascal,IND,27,WR,16,13,2,21,0,0,12,10.5,1.3,1
Jacques Patrick,SFO,24,RB,2,0,2,12,0,1,8,6.0,6.0,0
Nathan Peterman,LVR,27,QB,1,0,2,2,0,1,1,1.0,2.0,0
Patrick Ricard*,BAL,27,FB,13,11,2,4,0,2,2,2.0,0.3,0
Emmanuel Sanders,BUF,34,WR,14,13,2,31,0,2,24,15.5,2.2,0
Durham Smythe,MIA,26,TE,17,12,2,3,0,2,2,1.5,0.2,0
Jaylen Waddle,MIA,23,WR,16,16,2,3,1,1,2,1.5,0.2,2
James Washington,PIT,25,WR,15,2,2,13,0,0,12,6.5,0.9,0
,,,,,,,,,,,,,
Davis Webb,BUF,26,QB,1,0,2,-3,0,0,-1,-1.5,-3.0,0
Cedrick Wilson Jr.,DAL,26,WR,16,4,2,11,0,1,6,5.5,0.7,3
John Wolford,LAR,26,QB,3,0,2,-1,0,0,0,-0.5,-0.3,0
Jordan Akins,HOU,29,TE,13,3,1,3,0,1,3,3.0,0.2,2
Mark Andrews*+,BAL,26,TE,17,9,1,0,0,0,0,0.0,0.0,1
Alex Bachman,NYG,25,WR,3,0,1,-3,0,0,-3,-3.0,-1.0,0
C.J. Beathard,JAX,28,QB,2,0,1,2,0,0,2,2.0,1.0,0
David Blough,DET,26,QB,1,0,1,6,0,0,6,6.0,6.0,1
C.J. Board,NYG,28,WR,6,1,1,6,0,0,6,6.0,1.0,0
Reggie Bonnafon,CAR,25,RB,4,0,1,4,0,0,4,4.0,1.0,0
Gary Brightwell,NYG,22,RB,13,0,1,4,0,0,4,4.0,0.3,0
Antonio Brown,TAM,33,WR,7,3,1,6,0,0,6,6.0,0.9,0
Dyami Brown,WAS,22,WR,15,6,1,-4,0,0,-4,-4.0,-0.3,0
Marquise Brown,BAL,24,WR,16,16,1,5,0,1,5,5.0,0.3,3
Sean Chandler,CAR,25,SS,15,7,1,14,0,1,14,14.0,0.9,0
Randall Cobb,GNB,31,WR,12,3,1,1,0,0,1,1.0,0.1,1
Chris Conley,HOU,29,WR,16,10,1,3,0,1,3,3.0,0.2,1
Pharoh Cooper,NYG,26,WR,8,0,1,3,0,0,3,3.0,0.4,0
Nathan Cottrell,JAX,25,RB,4,0,1,3,0,0,3,3.0,0.8,0
Jaelon Darden,TAM,22,WR,9,0,1,11,0,1,11,11.0,1.2,0
Phillip Dorsett,3TM,28,WR,6,0,1,0,0,0,0,0.0,0.0,0
Greg Dortch,ARI,23,WR,5,2,1,24,0,1,24,24.0,4.8,0
Eric Ebron,PIT,28,TE,8,3,1,1,1,1,1,1.0,0.1,0
Bryan Edwards,LVR,23,WR,16,12,1,0,0,0,0,0.0,0.0,1
Evan Engram,NYG,27,TE,15,12,1,-3,0,0,-3,-3.0,-0.2,1
Zach Ertz,2TM,31,TE,17,14,1,4,0,0,4,4.0,0.2,0
Mike Evans*,TAM,28,WR,16,16,1,10,0,1,10,10.0,0.6,0
Clayton Fejedelem,MIA,28,DB,17,0,1,0,0,0,0,0.0,0.0,1
Maurice Ffrench,LAC,23,WR,3,0,1,3,0,0,3,3.0,1.0,0
Ryan Fitzpatrick,WAS,39,QB,1,1,1,2,0,0,2,2.0,2.0,1
,,,,,,,,,,,,,
Jamie Gillan,CLE,24,P,12,0,1,0,0,0,-8,0.0,0.0,1
Cyril Grayson,TAM,28,WR,5,3,1,14,0,1,14,14.0,2.8,0
Johnny Hekker,LAR,31,P,17,0,1,0,0,0,0,0.0,0.0,1
DeSean Jackson,2TM,35,WR,16,4,1,4,0,0,4,4.0,0.3,1
Christian Kirk,ARI,25,WR,17,11,1,11,0,1,11,11.0,0.6,0
Cole Kmet,CHI,22,TE,17,17,1,0,0,0,0,0.0,0.0,0
Patrick Laird,MIA,26,RB,6,0,1,4,0,0,4,4.0,0.7,0
Andy Lee,ARI,39,P,16,0,1,0,0,0,0,0.0,0.0,3
Braden Mann,NYJ,24,P,10,0,1,4,0,0,4,4.0,0.4,0
Nate McCrary,BAL,22,RB,1,0,1,-1,0,0,-1,-1.0,-1.0,0
Terry McLaurin,WAS,26,WR,17,17,1,12,0,1,12,12.0,0.7,0
D.K. Metcalf,SEA,24,WR,17,17,1,6,0,0,6,6.0,0.4,1
Jakobi Meyers,NWE,25,WR,17,16,1,9,0,0,9,9.0,0.5,1
Dax Milne,WAS,22,WR,13,1,1,1,0,0,1,1.0,0.1,1
C.J. Moore,DET,26,DB,17,1,1,28,0,1,28,28.0,1.6,0
Stanley Morgan Jr.,CIN,25,WR,17,1,1,3,0,0,3,3.0,0.2,0
Ryan Nall,CHI,26,RB,9,0,1,4,0,0,4,4.0,0.4,0
David Njoku,CLE,25,TE,16,11,1,1,0,0,1,1.0,0.1,0
Gunner Olszewski,NWE,25,WR,16,0,1,9,0,0,9,9.0,0.6,3
K.J. Osborn,MIN,24,WR,17,9,1,10,0,1,10,10.0,0.6,0
Devine Ozigbo,2TM,25,RB,3,0,1,-3,0,0,0,-3.0,-1.0,0
Michael Palardy,MIA,29,P,17,0,1,1,0,0,1,1.0,0.1,0
Josh Palmer,LAC,23,WR,17,5,1,6,0,0,6,6.0,0.4,0
Breshad Perriman,TAM,28,WR,6,0,1,-3,0,0,-3,-3.0,-0.5,0
Trey Ragas,LVR,25,RB,1,0,1,9,0,1,9,9.0,9.0,0
Amari Rodgers,GNB,22,WR,16,1,1,11,0,1,11,11.0,0.7,2
Chester Rogers,TEN,27,WR,16,2,1,9,0,0,9,9.0,0.6,4
John Ross,NYG,26,WR,10,1,1,16,0,1,16,16.0,1.6,1
Sterling Shepard,NYG,28,WR,7,6,1,-9,0,0,-9,-9.0,-1.3,0
Cam Sims,WAS,25,WR,14,3,1,7,0,0,7,7.0,0.5,0
,,,,,,,,,,,,,
Darius Slayton,NYG,24,WR,13,5,1,-13,0,0,-13,-13.0,-1.0,1
Ito Smith,DAL,26,RB,1,0,1,4,1,1,4,4.0,4.0,0
Jeff Smith,NYJ,24,WR,12,3,1,-1,0,0,-1,-1.0,-0.1,0
Shi Smith,CAR,23,WR,6,0,1,-3,0,0,-3,-3.0,-0.5,0
Tremon Smith,HOU,25,DB,17,2,1,7,0,0,7,7.0,0.4,0
Kenny Stills,NOR,29,WR,13,4,1,1,0,0,1,1.0,0.1,0
Adam Thielen,MIN,31,WR,13,13,1,2,0,0,2,2.0,0.2,1
Quez Watkins,PHI,23,WR,17,12,1,3,0,0,3,3.0,0.2,0
Derek Watt,PIT,29,RB,17,4,1,1,0,1,1,1.0,0.1,0
Preston Williams,MIA,24,WR,8,3,1,7,0,0,7,7.0,0.9,0
Andrew Wingard,JAX,25,SS,15,15,1,4,0,1,4,4.0,0.3,0
Olamide Zaccheaus,ATL,24,WR,17,8,1,2,0,1,2,2.0,0.1,0
